cohort_id,gene,effect_size,log2fc,pvalue,n_prog,n_nonprog
GSE107994,CD9,-0.4005870904543829,-0.0719951618642036,0.0293297842197991,53,122
GSE107994,CD93,-0.4410440948077379,-0.0446696862071762,0.0066030976193994,53,122
GSE107994,CD96,-1.578104972505403,-0.1819869242097631,5.415072571452978e-10,53,122
GSE107994,CD99,0.4736099968299769,0.0319560539879071,0.0071024739143243,53,122
GSE107994,CD99L2,0.5625424648118187,0.036321819743649,0.0017325546309204,53,122
GSE107994,CD99P1,0.350772215349432,0.0766849272864427,0.0951506903023069,53,122
GSE107994,CDA,0.939140537964735,0.1032510392044576,3.9108533710205044e-07,53,122
GSE107994,CDADC1,0.0198522185024654,0.0048309642367756,0.9144230257636266,53,122
GSE107994,CDAN1,-1.473264762144045,-0.1168834742481021,2.80081145070312e-10,53,122
GSE107994,CDC123,0.3052436639123734,0.0169361523890407,0.0951131546976762,53,122
GSE107994,CDC14A,-1.1995320534204217,-0.3705035036530657,3.386550316527321e-08,53,122
GSE107994,CDC14B,0.2054686434677201,0.0457280040469165,0.2478500913330379,53,122
GSE107994,CDC16,-0.2955878547579816,-0.0186255522208638,0.0738140626860757,53,122
GSE107994,CDC20,0.431663695470883,0.2590153505231062,0.0084680493808281,53,122
GSE107994,CDC23,-1.062100223483775,-0.1855432017848806,2.9204878909689885e-06,53,122
GSE107994,CDC25B,-1.4474702256140115,-0.1016786311805959,5.577251330437858e-10,53,122
GSE107994,CDC26,1.0043700907835107,0.1163632334202051,9.212694287388698e-07,53,122
GSE107994,CDC27,0.1363119693894053,0.0170656535659157,0.4121578310722317,53,122
GSE107994,CDC34,0.7047146785084392,0.0919200241835134,3.6463159295755866e-05,53,122
GSE107994,CDC37,0.6915141534186162,0.0380426392944501,0.0003094859518138,53,122
GSE107994,CDC37L1,-0.581168976843211,-0.135166089026369,0.0053714623095113,53,122
GSE107994,CDC40,-0.0293314084738151,-0.0034970727903709,0.8808385700401711,53,122
GSE107994,CDC42,0.876906659105402,0.0290013178029,1.242770398475889e-06,53,122
GSE107994,CDC42BPA,1.424798532803407,0.5535908221664305,4.966913103480819e-11,53,122
GSE107994,CDC42BPB,1.038674894137565,0.1078506348308185,1.6751327648673002e-08,53,122
GSE107994,CDC42BPG,-1.2556552498838829,-0.3390333633619176,3.9118519332075856e-08,53,122
GSE107994,CDC42EP1,0.5213042957726784,0.1871617428571932,0.0014160122587011,53,122
GSE107994,CDC42EP2,0.8508713265546536,0.097710214292698,1.3241653271347738e-07,53,122
GSE107994,CDC42EP3,0.052249712025535,0.004449125706111,0.7653518033495882,53,122
GSE107994,CDC42EP4,0.9626842567138116,0.1229181024174477,9.095594958551197e-08,53,122
GSE107994,CDC42SE1,0.0993045772472868,0.0032465017039973,0.5349558458270417,53,122
GSE107994,CDC42SE2,-0.3120850692519878,-0.0168919265407012,0.0755760512142716,53,122
GSE107994,CDC45,0.2002837574504101,0.0792633809566028,0.236615362269529,53,122
GSE107994,CDC5L,-0.4110738905836284,-0.0613990455538777,0.0304635329182904,53,122
GSE107994,CDC6,0.4579086554406856,0.1823773407779758,0.0103798118150444,53,122
GSE107994,CDC7,-0.7839427264963232,-0.3134666315925168,6.97497091266416e-05,53,122
GSE107994,CDC73,-0.0748479728667635,-0.0199904638021823,0.677322764504515,53,122
GSE107994,CDCA3,0.1999209521563394,0.086964584848644,0.2258642161824258,53,122
GSE107994,CDCA4,-1.0738339541986854,-0.1276171391024911,9.087432395265723e-08,53,122
GSE107994,CDCA5,0.5179501864896637,0.2755540328214889,0.001188403277111,53,122
GSE107994,CDCA7,-0.629408830672273,-0.2950174954858289,2.338014551941205e-05,53,122
GSE107994,CDCA7L,-0.9385163434275112,-0.1776446752667548,4.46236493105143e-06,53,122
GSE107994,CDCA8,-0.397360994152048,-0.149957465393797,0.0375246685234954,53,122
GSE107994,CDH23,1.1295512670212993,0.0881059027869302,4.800459323486906e-10,53,122
GSE107994,CDH24,-1.1113694651404604,-0.5016901503636392,9.40900264710525e-09,53,122
GSE107994,CDH26,-0.4031879369591888,-0.1624706406867675,0.0142576497300602,53,122
GSE107994,CDHR1,-0.4915551894779258,-0.2525932695886759,0.00638449823058,53,122
GSE107994,CDHR3,-1.085645877964866,-0.4437246649766828,8.105015934734277e-12,53,122
GSE107994,CDIPT,0.9864158867781632,0.0603775295157191,9.170772680319529e-08,53,122
GSE107994,CDK10,-0.2099891095562727,-0.0157002479795731,0.1906753232824358,53,122
GSE107994,CDK11A,0.1210312866848924,0.0361254616255959,0.475590864031672,53,122
GSE107994,CDK12,-0.0082644045885538,-0.0005325529739286,0.9599972348901558,53,122
GSE107994,CDK13,-0.7465427707092523,-0.0684269089105731,0.000124558366855,53,122
GSE107994,CDK14,0.1742629869053858,0.0493297236251508,0.2999748841166583,53,122
GSE107994,CDK16,0.2687963108889555,0.0151794605231421,0.1086053298952712,53,122
