gene,posterior_mean,posterior_sd,ci95_low,ci95_high,post_prob_positive,tau2,n_cohorts,posterior_abs_mean
SWT1,0.6519505587769115,0.0576390417704235,0.5389780369068815,0.7649230806469416,1.0,0.0,2,0.6519505587769115
RBMS1,0.6513679963946822,0.0576390417704235,0.5383954745246522,0.7643405182647123,1.0,0.0,2,0.6513679963946822
ANPEP,0.6493974646994841,0.0688023777874539,0.5145448042360745,0.7842501251628937,1.0,0.002770789484253979,2,0.6493974646994841
ACSL4,0.6473186410445825,0.0576390417704235,0.5343461191745524,0.7602911629146125,1.0,0.0,2,0.6473186410445825
FAR2,0.6472180343022013,0.0576390417704235,0.5342455124321712,0.7601905561722313,1.0,0.0,2,0.6472180343022013
GALC,0.6460996317866314,0.0576390417704235,0.5331271099166014,0.7590721536566615,1.0,0.0,2,0.6460996317866314
PREX1,0.6425003860736459,0.0576390417704235,0.5295278642036159,0.7554729079436759,1.0,0.0,2,0.6425003860736459
TMEM165,0.6409237228993943,0.0672886814833754,0.5090379071919785,0.77280953860681,1.0,0.0023644765205249876,2,0.6409237228993943
KLF1,0.6350300916510447,0.0576390417704235,0.5220575697810147,0.7480026135210748,1.0,0.0,2,0.6350300916510447
CR1,0.6340577125386386,0.0576390417704235,0.5210851906686086,0.7470302344086687,1.0,0.0,2,0.6340577125386386
SERPINB8,0.6335311611688089,0.0576390417704235,0.5205586392987789,0.746503683038839,1.0,0.0,2,0.6335311611688089
VNN2,0.6323567287568888,0.0576390417704235,0.5193842068868587,0.7453292506269188,1.0,0.0,2,0.6323567287568888
UBE2J1,0.6314300487795589,0.0576390417704235,0.5184575269095288,0.7444025706495889,1.0,0.0,2,0.6314300487795589
