gene,posterior_mean,posterior_sd,ci95_low,ci95_high,post_prob_positive,tau2,n_cohorts,posterior_abs_mean
RNF10,0.9039149465540369,0.10185159820297368,0.7042858140762085,1.1035440790318654,1.0,0.013981434027715678,2,0.9039149465540369
CREB5,0.9026603744199937,0.0576390417704235,0.7896878525499637,1.0156328962900238,1.0,0.0,2,0.9026603744199937
KLHDC8A,0.9020029161276848,0.1021460802463297,0.7017965988448785,1.102209233410491,1.0,0.014101241635328972,2,0.9020029161276848
TECPR2,0.8898184753685727,0.07034718335424886,0.7519379959942449,1.0276989547429005,1.0,0.003195257905405826,2,0.8898184753685727
GMPR2,0.8845908238208581,0.0576390417704235,0.771618301950828,0.9975633456908881,1.0,0.0,2,0.8845908238208581
ALDH2,0.8798356933999073,0.0576390417704235,0.7668631715298773,0.9928082152699373,1.0,0.0,2,0.8798356933999073
GLT1D1,0.8788718835359225,0.0576390417704235,0.7658993616658925,0.9918444054059525,1.0,0.0,2,0.8788718835359225
SLC46A2,0.8771326925433091,0.0576390417704235,0.764160170673279,0.9901052144133391,1.0,0.0,2,0.8771326925433091
ITGB3,0.8769970474954542,0.0576390417704235,0.7640245256254241,0.9899695693654842,1.0,0.0,2,0.8769970474954542
BAZ2A,0.8764431953954418,0.0576390417704235,0.7634706735254118,0.9894157172654718,1.0,0.0,2,0.8764431953954418
FURIN,0.8713389741269458,0.07784204125896753,0.7187685732593695,1.0239093749945223,1.0,0.005394400098108084,2,0.8713389741269458
CD177,0.8670294546825215,0.0576390417704235,0.7540569328124914,0.9800019765525515,1.0,0.0,2,0.8670294546825215
EIF2AK1,0.8667022094749576,0.06682816547228823,0.7357190051492726,0.9976854138006426,1.0,0.0022427538688602326,2,0.8667022094749576
SH3PXD2B,0.8664620830397476,0.07401705513019097,0.7213886549845733,1.0115355110949218,1.0,0.0042431900619743735,2,0.8664620830397476
PCYT1A,0.8661317034736211,0.09405755599582492,0.6817788937218043,1.050484513225438,1.0,0.010937752488359126,2,0.8661317034736211
SIPA1L2,0.8636220248336728,0.09323474624212634,0.6808819221991051,1.0463621274682404,1.0,0.010630762900095883,2,0.8636220248336728
HDGF,0.8635801629836269,0.0576390417704235,0.7506076411135969,0.976552684853657,1.0,0.0,2,0.8635801629836269
ATF6,0.860153256977352,0.0576390417704235,0.747180735107322,0.973125778847382,1.0,0.0,2,0.860153256977352
