gene,module
ENSG00000261613,gray
ENSG00000262292,gray
FAM86FP,gray
FLVCR1-DT,gray
GABRD,gray
GSDMA,gray
KRT79,gray
LAMB3,gray
LINC01679,gray
LIPC,gray
MELTF,gray
NPIPA8,gray
NUTM2A,gray
NUTM2D,gray
PAX8,gray
PKD2L1,gray
PPFIBP2,gray
SIK1,gray
SLC23A3,gray
TIE1,gray
TRDV3,gray
UNC5B,gray
USP31,gray
XRRA1,gray
