gene,module
ENSG00000225200,M5
ENSG00000225541,M5
ENSG00000226180,M5
ENSG00000226822,M5
ENSG00000227077,M5
ENSG00000227540,M5
ENSG00000227678,M5
ENSG00000227766,M5
ENSG00000228106,M5
ENSG00000230521,M5
ENSG00000233974,M5
ENSG00000234160,M5
ENSG00000234436,M5
ENSG00000234477,M5
ENSG00000235605,M5
ENSG00000236255,M5
ENSG00000237513,M5
ENSG00000237669,M5
ENSG00000240036,M5
ENSG00000242477,M5
ENSG00000242660,M5
ENSG00000244480,M5
ENSG00000247679,M5
ENSG00000248367,M5
ENSG00000250850,M5
ENSG00000253200,M5
ENSG00000253683,M5
ENSG00000253882,M5
ENSG00000255026,M5
ENSG00000255050,M5
ENSG00000256045,M5
ENSG00000259865,M5
ENSG00000259891,M5
ENSG00000259959,M5
ENSG00000260196,M5
ENSG00000260244,M5
ENSG00000260267,M5
ENSG00000260276,M5
ENSG00000260496,M5
ENSG00000260521,M5
ENSG00000261888,M5
ENSG00000262222,M5
ENSG00000262251,M5
ENSG00000262332,M5
ENSG00000262712,M5
ENSG00000262823,M5
ENSG00000263126,M5
ENSG00000263335,M5
ENSG00000263464,M5
ENSG00000264577,M5
ENSG00000264885,M5
ENSG00000267194,M5
ENSG00000267198,M5
ENSG00000268575,M5
ENSG00000269918,M5
ENSG00000269973,M5
ENSG00000270015,M5
ENSG00000270028,M5
ENSG00000271581,M5
ENSG00000271895,M5
ENSG00000272449,M5
ENSG00000272501,M5
ENSG00000273038,M5
ENSG00000273183,M5
ENSG00000273230,M5
ENSG00000273373,M5
ENSG00000273437,M5
ENSG00000273445,M5
ENSG00000274104,M5
ENSG00000274561,M5
ENSG00000274828,M5
ENSG00000274979,M5
ENSG00000275063,M5
ENSG00000275202,M5
ENSG00000275772,M5
ENSG00000276317,M5
ENSG00000278341,M5
ENSG00000279086,M5
ENSG00000279265,M5
ENSG00000279267,M5
ENSG00000279415,M5
ENSG00000279483,M5
ENSG00000279520,M5
ENSG00000279528,M5
ENSG00000279693,M5
ENSG00000280106,M5
ENSG00000280135,M5
ENSG00000280202,M5
ENSG00000280239,M5
ENSG00000280287,M5
ENSG00000280604,M5
ENSG00000282416,M5
ENTPD4,M5
ENTR1,M5
EOGT,M5
EPB41L4A-AS1,M5
EPC2,M5
ERBB2,M5
ERCC8,M5
ERG28,M5
ERGIC2,M5
ERH,M5
ERICH6-AS1,M5
ERVK13-1,M5
ESPL1,M5
ETNK2,M5
EXD2,M5
EXO5,M5
EXOSC1,M5
EXOSC10,M5
EXTL2,M5
F8A3,M5
FAAH,M5
FAAH2,M5
FAAP20,M5
FADS2,M5
FAF1,M5
FAHD2A,M5
FAHD2B,M5
FAIM,M5
FAM110A,M5
FAM111A-DT,M5
FAM117B,M5
FAM120A,M5
FAM120B,M5
FAM133B,M5
FAM153B,M5
FAM156A,M5
FAM167A,M5
FAM167B,M5
FAM168A,M5
FAM168B,M5
FAM169A,M5
FAM200A,M5
FAM217B,M5
FAM219B,M5
FAM229A,M5
FAM50B,M5
FAM76B,M5
FAM8A1,M5
FAM98B,M5
FAN1,M5
FANCE,M5
FANCI,M5
FAR2,M5
FAR2-AS1,M5
FASTKD1,M5
FBL,M5
FBLN2,M5
FBRSL1,M5
FBXO30,M5
FBXO5,M5
FCER1A,M5
FCGBP,M5
FCHSD2,M5
FCRL1,M5
FCRL2,M5
FDXR,M5
FGFR1,M5
FGFR2,M5
FGGY,M5
FHIP2A,M5
FIBP,M5
FLAD1,M5
FLT3LG,M5
FMN1,M5
FMO4,M5
FN3KRP,M5
FNBP1,M5
FNTA,M5
FOSB,M5
FOXK2,M5
FOXM1,M5
FRYL,M5
FTX,M5
G6PC3,M5
GAB3,M5
GABPA,M5
GAL3ST4,M5
GALNT11,M5
GALNT12,M5
GALNT7,M5
GALT,M5
GANAB,M5
GANC,M5
GARRE1,M5
GATD1,M5
GCC2,M5
GCFC2,M5
GCLC,M5
GCLM,M5
GCSAML,M5
GDAP1,M5
GEN1,M5
GET4,M5
GFI1B,M5
GFOD1,M5
GFOD3P,M5
GGA3,M5
GIMAP1,M5
GIMAP7,M5
GLB1L2,M5
GLIPR1-AS1,M5
GLUD1,M5
GMEB2,M5
GNL1,M5
GNL3L,M5
GNPAT,M5
GOLGA2P5,M5
GOLGA4,M5
GOLGA6L9,M5
GOLGA8A,M5
GOLGA8B,M5
GOLGA8N,M5
GON4L,M5
GOSR2,M5
GP6,M5
GPATCH2,M5
GPD2,M5
GPHRB,M5
GPN1,M5
GPR15,M5
GPR153,M5
GPR18,M5
GPR19,M5
GPR34,M5
